Site ID,Channel,Campaign Name,Country,Spend,Installs,IPM,CPI,D1 Total Revenue,D3 Total Revenue,D7 IAP Revenue,,D1 Total ROAS,D3 Total ROAS,D7 Total ROAS
225349,IronSource,nk_a16_is_01,US,81.23,94,10.058855,0.864148936,17.291,23.2405,27.9102,14.665,0.212864705,0.28610735,0.343594731
225723,IronSource,nk_a16_is_01,US,80.51,96,12.97297297,0.838645833,17.0798,25.5807,33.4596,14.665,0.212145075,0.317733201,0.415595578
196723,IronSource,nk_a16_is_01,US,79.8,98,13.88101983,0.814285714,14.1994,21.8198,28.8004,13.23,0.177937343,0.273431078,0.360907268
268443,IronSource,nk_a16_is_01,US,75.65,89,20.0270027,0.85,10.28,12.9305,14.9796,9.065,0.135888962,0.170925314,0.198011897
200607,IronSource,nk_a16_is_01,US,75.65,90,11.51926277,0.840555556,9.2599,14.8397,16.9101,3.493,0.122404494,0.196162591,0.223530734
189133,IronSource,nk_a16_is_01,US,74.8,93,6.598084427,0.804301075,24.4599,38.3807,42.6598,25.137,0.327004011,0.513110963,0.570318182
128671,IronSource,nk_a16_is_01,US,73.65,87,13.55985037,0.846551724,9.41,14.48,18.3201,3.493,0.127766463,0.196605567,0.248745418
237779,IronSource,nk_a16_is_01,US,72.01,87,15.11728931,0.827701149,8.6003,11.3004,13.04,3.493,0.119432023,0.156928204,0.18108596
254937,IronSource,nk_a16_is_01,US,71.4,83,8.366935484,0.860240964,4.0601,7.359,10.2196,0.693,0.056864146,0.103067227,0.143131653
260767,IronSource,nk_a16_is_01,US,70.2,84,21.90352021,0.835714286,4.2904,6.4801,8.2304,0,0.061116809,0.092309117,0.117242165
93713,IronSource,nk_a16_is_01,US,70.15,80,6.53915318,0.876875,14.8597,21.24,27.9893,14.665,0.211827512,0.302779758,0.39899216
263359,IronSource,nk_a16_is_01,US,67.3,85,25.24502525,0.791764706,18.2205,23.9092,30.8401,20.216,0.270735513,0.355263001,0.458248143
